method_id	referenceid	criteria	probe_concentration	probeid	name_show	type	cpid	name_competitor	cell_id	experiment_method	Quantitative Method	cp_concentration	remark
LDD1429	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0593	Fragment35	LDCLL0021	.	Isotope tag	500 uM	.
LDD1430	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0593	Fragment35	LDCLL0042	.	Isotope tag	500 uM	.
LDD1427	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0592	Fragment34	LDCLL0021	.	Isotope tag	500 uM	.
LDD1428	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0592	Fragment34	LDCLL0042	.	Isotope tag	500 uM	.
LDD1423	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0590	Fragment32	LDCLL0021	.	Isotope tag	500 uM	.
LDD1424	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0590	Fragment32	LDCLL0042	.	Isotope tag	500 uM	.
LDD2201	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0590	Fragment32	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1421	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0589	Fragment31	LDCLL0021	.	Isotope tag	500 uM	.
LDD1422	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0589	Fragment31	LDCLL0042	.	Isotope tag	500 uM	.
LDD2200	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0589	Fragment31	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1477	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0589	Fragment31	LDCLC0021	.	Isotope tag	200 uM	.
LDD1478	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0589	Fragment31	LDCLC0042	.	Isotope tag	200 uM	.
LDD1419	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0588	Fragment30	LDCLL0021	.	Isotope tag	500 uM	.
LDD1420	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0588	Fragment30	LDCLL0042	.	Isotope tag	500 uM	.
LDD2199	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0588	Fragment30	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1417	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0587	Fragment29	LDCLL0021	.	Isotope tag	500 uM	.
LDD1418	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0587	Fragment29	LDCLL0042	.	Isotope tag	500 uM	.
LDD1476	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0587	Fragment29	LDCLC0042	.	Isotope tag	200 uM	.
LDD1415	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0586	Fragment28	LDCLL0021	.	Isotope tag	500 uM	.
LDD1416	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0586	Fragment28	LDCLL0042	.	Isotope tag	500 uM	.
LDD2198	REF000029	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0586	Fragment28	LDCLL0042	DIA-ABPP	Isotope tag	500 uM	.
LDD1475	REF000131	Quantification: Probe vs (Probe+Competitor)	100 uM	LDPC0032	IA-alkyne	ABPP Probe	LDCM0586	Fragment28	LDCLC0021	.	Isotope tag	200 uM	.
